# Devanagari -> the most commonly attested romanization.
# Derived from Google Dakshina v1.0, CC BY-SA 4.0.
अं	an
अव्यक्त	avyakt
अव्यवस्था	avayavastha
अव्यवस्थाओं	avyavasthaon
अव्यवस्थित	avyavasthit
अव्वल	avval
अशद	ashad
अशफाक	ashfaq
अशर	ashar
अशरफ	ashraf
अशरफ़	asharf
अशांत	ashant
अशांति	ashanti
अशिष्ट	ashisht
अशिष्टता	ashishtta
अशुद्ध	ashudd
अशुद्धता	ashuddhata
अशुद्धि	ashuddhi
अशुद्धियों	ashuddiyon
अशुभ	ashubh
अशेक	ashek
अश्रु	ashru
अश्रुओं	ashruon
अश्लील	ashleel
अश्लीलता	ashlilta
अश्व	ashv
अश्वगंधा	ashravgandha
अश्वत्थामा	ashvatthama
अश्वनी	ashvani
अश्वमेध	ashvamegh
अश्विन	ashvin
अश्वेत	ashvet
अश्वेतों	ashveton
अष्ट	asht
अष्टम	ashtam
अष्टमी	ashtmi
अष्टांग	ashtang
अष्टावक्र	ashtavakra
अस	as
असंगठित	asangathit
असंगति	asangati
असंतुलन	asantulan
असंतुलित	asantulit
असंतुष्ट	asantusht
असंतुष्टों	asantushton
असंतृप्त	asantript
असंतोष	asantosh
असंतोषजनक	asantoshjanak
असंदिग्ध	asandigdh
असंबंधित	asambandhit
असंबद्ध	asabddh
असंभव	asambhav
असके	aske
असक्रिय	askriy
असत्य	asatya
असत्यापित	asatyapit
असद	asad
असदुल्ला	asdulla
असफलता	asafalta
असभ्य	asabhy
असभ्यता	asabhyata
असम	assam
असमंजस	asamanjas
असमय	asamay
असमर्थ	asamarth
असमर्थता	asamarthata
असमा	asama
असमान	asamaan
असमानता	asamaanta
असमी	asami
असरगंज	asarganj
असरदार	asaradaar
असरानी	asrani
असरार	asraar
असल	asal
असलम	aslam
असलियत	asaliyat
असली	asali
असहज	asahaj
असहनशीलता	asahanshilta
असहनीय	asahaneey
असहमत	asahamat
असहमति	asahamati
असहयोग	asahayog
असहाय	asahaay
असहायता	asahayta
असहायों	asahayon
असहिष्णुता	asahishnuta
असाइनमेंट	assignment
असाधारण	asadharan
असाध्य	asaadhy
असामयिक	asaamayik
असामाजिक	asaamaajik
असामान्य	asaamaany
असामान्यता	asamanyata
असाही	asahi
असित	asit
असिस्टेंट	assistant
असीम	aseem
असीमानंद	aseemanand
असीमित	asimit
असीर	asir
असुर	asur
असुरक्षा	asuraksha
असुरों	asuron
असुविधा	asuvidha
असुविधाओं	asuvidhaaon
असुविधाजनक	asuvidhajanak
असेंबली	assembly
असेसमेंट	assessment
असैन्य	asainya
असोसिएशन	association
अस्त	ast
अस्तव्यस्त	astvyast
अस्तव्यस्तता	astvyastata
अस्ति	asti
अस्तित्व	astitva
अस्तित्ववाद	astitvavaad
अस्त्र	astra
अस्त्रशस्त्रों	astrashastron
अस्त्रों	astron
अस्थाई	asthai
अस्थायी	asthayi
अस्थि	asthi
अस्थिर	asthir
अस्थिरता	asthirata
अस्पताल	aspataal
अस्पतालों	aspataalon
अस्पष्ट	aspasht
अस्पष्टता	aspashtata
अस्पृश्य	aspashya
अस्पृश्यों	asparshyon
अस्मिता	asmita
अस्वच्छ	aswach
अस्वच्छता	aswachhta
अस्वस्थ	aswasth
अस्वाभाविक	aswabhavik
अस्वीकार	aswikar
अस्वीकार्य	aswikaarya
अस्वीकृत	asvikrit
अस्वीकृति	asvikriti
अहंकार	ahankaar
अहम	aham
अहमद	ahmad
अहमदनगर	ahmednagar
अहमदपुर	ahmedpur
अहमदशाह	ahmedshah
अहमदाबाद	ahmedabad
अहसान	ahsaan
अहसास	ahsaas
अहाते	ahaate
अहान	ahaan
अहिंसक	ahinsak
अहिंसा	ahinsa
अहिरावण	ahiravan
अहिल्या	ahilya
अहिल्याबाई	ahilyabai
अहीरवाल	ahirwal
अहोई	ahoi
अादि	aadi
अॉनलाइन	online
अौर	aur
आँखे	aankhe
आँखें	aankhen
आँखों	aankhon
आंक	aank
आंकड़ा	aankaraa
आंकड़े	aankade
आंकड़ों	aakadon
आंकने	aankne
आंका	aanka
आंकिक	aankik
आंकी	aanki
आंख	aankh
आंखें	aankhen
आंगन	angan
आंगनबाड़ी	anganbadi
आंगनवाड़ी	aanganvadi
आंगलोंग	anglong
आंग्रे	angre
आंचलिक	aanchalik
आंतरिक	aantarik
आंतों	aanton
आंदोलनों	aandolanon
आंदोलित	aandolit
आंद्रे	aandre
आंधियों	aandhiyon
आंधी	aandhi
आंध्रप्रदेश	andhrapradesh
आंबेडकर	aambedkar
आंवला	aanvala
आंशिक	aanshik
आंसुओं	aansuon
आंसू	aansu
आंसूओं	aansuon
आइंस्टीन	einstein
आइए	aaiae
आइएसएल	isl
आइकन	icon
आइकिया	ikiya
आइगर	aaigar
आइजनहावर	eisenhower
आइजॉल	aizawl
आइट्यून्स	itunes
आइडल्स	idols
आइडिया	idea
आइने	aaine
आइरिस	aaeris
आइलैंड	island
आइल्स	ails
आइवरी	ivari
आइवी	iv
आइस	ice
आइसक्रीम	icecream
आइसलैंड	iceland
आइसिंग	icing
आइसोलेटेड	isolated
आइस्क्रीम	icecream
आई	aai
आईं	aai
आईआईएम	iim
आईआईटी	iit
आईआरए	ira
आईआरएस	irs
आईईएस	ies
आईईसी	iec
आईएएनएस	ians
आईएएफ	iaf
आईएनएस	ins
आईएनजी	ing
आईएमए	ima
आईएमटी	imt
आईएमडी	imd
आईएसआईएस	isis
आईएसएस	iss
आईएसओ	iso
आईएसबीएन	isbn
आईक्यू	iq
आईज	eyes
आईटी	it
आईटीएफ	itf
आईटीवी	itv
आईटीसी	itc
आईडल	idol
आईडी	id
आईडीएफसी	idfc
आईडीसी	idc
आईना	aaina
आईपी	ip
आईपीएल	ipl
आईपीएस	ips
आईपीओ	ipo
आईफा	iifa
आईबीए	iba
आईबीएम	ibm
आईबीपी	ibp
आईमैक्स	imax
आईलेंड	iland
आईलैंड	island
आईवी	iv
आईसी	ic
आईसीआईसीआई	icici
आईसीएल	icl
आईसीटी	ict
आईसीडीएस	icds
आईसीपी	icp
आईसीसी	icc
आउट	out
आउटडोर	outdoor
आउटपुट	output
आउटपोस्ट	outpost
आउटफिट	outfit
आउटरीच	outreach
आउटलुक	outlook
आउटसोर्सिंग	outsourcing
आऊंगा	aaunga
आऊट	out
आए	aae
आएंगे	aaenge
आएगा	aaega
आएगी	aaegi
आक	aak
आकर	aakar
आकर्षक	akarshak
आकर्षण	aakarshan
आकर्षणों	aakarshanon
आकर्षित	aakarshit
आकलन	aakalan
आकस्मिक	aakasmik
आकांक्षा	aakankshaa
आकांक्षाएं	aakaankshaayein
आकांक्षाओं	aakaankshaaon
आकांक्षी	aakanshi
आकार	aakar
आकारों	aakaron
आकाशगंगा	aakashganga
आकाशगंगाओं	aakaashgangaaon
आकाशवाणी	aakaashvaani
आकृति	aakriti
आकृतियां	aakritiyan
आकृतियों	aakritiyon
आकृष्ट	aakrisht
आक्रमण	aakraman
आक्रमणकारियों	aakramankariyon
आक्रमणकारी	aakramankari
आक्रमणों	aakramanon
आक्रांत	aakrant
आक्रामक	aakramak
आक्रामकता	aakramakta
आक्रोश	aakrosh
आक्षेप	aakshep
आखर	aakhar
आखरी	aakhari
आखिर	aakhir
आखिरकार	aakhirkar
आखिरी	aakhiri
आख्या	aakhya
आख्यान	aakhyan
आख्यानों	aakhyaanon
आग	aag
आगंतुक	aagantuk
आगंतुकों	aagantukon
आगम	aagam
आगर	aagar
आगरा	agra
आगरी	aagari
आग़ाज़	aagaaj
आगा	aaga
आगाज	aagaaj
आगामी	aagaami
आगाह	aagaaha
आगे	aage
आगोलाई	aagolaai
आग्नेय	aagneya
आग्नेयास्त्र	agneyastra
आग्रह	aagrah
आघात	aaghat
आचरण	aacharan
आचारसंहिता	aachaarsanhitaa
आचार्य	aacharya
आचार्यों	aachaaryon
आच्छादन	aacchaadan
आच्छादित	aacchaadit
आज	aaj
आजकल	aajkal
आजतक	aajtak
आजन्म	aajanma
आजमगढ़	azamgarh
आजमा	aajmaa
आजमाई	aajmaai
आजमाईश	aajmaaish
आजमाने	aajmane
आज़म	azam
आज़मी	azmi
आज़ादी	azadi
आजा	aaja
आजाद	ajad
आजादी	aajadi
आजी	aaji
आजीवन	aajeevan
आजीविका	aajivika
आज्ञा	aagya
आज्ञाकारिता	aagyakarita
आज्ञानुसार	aagyanusar
आटे	aate
आठ	aath
आठवां	aathvan
आठवीं	aathvin
आठवें	aathvein
आडंबरपूर्ण	aadambarpurana
आडवाणी	advani
आड़	aad
आड़े	aade
आडा	aada
आडिट	audit
आडिटोरियम	auditorium
आडू	aadu
आण्विक	aanvik
आतंक	aatank
आतंकवाद	aatankvad
आतंकवादियों	aatankwadiyon
आतंकवादी	aatankwadi
आतंकियों	aatankiyon
आतंकी	aatanki
आता	aata
आतिशबाजी	aatishbaaji
आती	aati
आतीं	aatin
आतुर	aatur
आते	aate
आतें	aatein
आत्म	aatm
आत्मकथा	aatmkatha
आत्मकथाएं	aatmakathayein
आत्मग्लानि	aatmaglani
आत्मघात	aatmaghaat
आत्मघाती	aatmaghati
आत्मचिंतन	aatmachintan
आत्मज्ञान	aatmadnyaana
आत्मदाह	aatmadaah
आत्मनिर्भर	aatmnirbhar
आत्मनिर्भरता	aatmanirbharataa
आत्मरक्षा	atmaraksha
आत्मविश्वास	aatmavishwas
आत्मश्लाघा	aatmshlagha
आत्मसंयम	aatmasanyam
आत्मसमर्पण	aatmasamarpan
आत्मसम्मान	atmasamman
